ind_id,school,degreeName,schoolName,fieldOfStudy,startDate_year
11,"{'objectUrn': 'urn:li:school:12691', 'entityUrn': 'urn:li:fs_miniSchool:12691', 'active': True, 'schoolName': 'University of Cambridge', 'trackingId': 'tvPN5YxdSMGhL9abBDsdHQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQGLqHVOwtQeUQ/company-logo_'}",Social entrepreneurship summer training,University of Cambridge,"Business Administration and Management, General",2015.0
11,"{'objectUrn': 'urn:li:school:12214', 'entityUrn': 'urn:li:fs_miniSchool:12214', 'active': True, 'schoolName': 'Universidad de Granada', 'trackingId': '01QQPdVoSXKF4WMJgvGigw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQEPGw1pzWUynw/company-logo_'}",Licenciatura,Universidad de Granada,Ciencias Politicas y de la Administracion,2005.0
12,"{'objectUrn': 'urn:li:school:12529', 'entityUrn': 'urn:li:fs_miniSchool:12529', 'active': True, 'schoolName': 'Le Mans Université', 'trackingId': 'vmByMfCtS8ayVTeBpjEB2g==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQGjkfNQ-TkHrQ/company-logo_'}",,Université du Maine-Le Mans-Laval,,
12,,,,,
12,"{'objectUrn': 'urn:li:school:12493', 'entityUrn': 'urn:li:fs_miniSchool:12493', 'active': True, 'schoolName': 'Université de Caen Normandie', 'trackingId': 'Lgtv1pZDSyOnnE5wrRtIBw==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQFddaa2kyAHTQ/company-logo_'}",Dut SRC,Université de Caen Basse Normandie,,
13,"{'objectUrn': 'urn:li:school:12545', 'entityUrn': 'urn:li:fs_miniSchool:12545', 'active': True, 'schoolName': 'Université Paris-Est Créteil (UPEC)', 'trackingId': 'jTUp8rsFT16/UQcnEya4Uw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQEErdpTzCZMDA/company-logo_'}",Bachelor,Université Paris 12,Law,2011.0
13,"{'objectUrn': 'urn:li:school:12443', 'entityUrn': 'urn:li:fs_miniSchool:12443', 'active': True, 'schoolName': 'HEC Paris', 'trackingId': 'o8NCF6CeTTWdkMmbKeFW9Q==', 'logoUrl': 'https://media.licdn.com/dms/image/C510BAQEoEkTMvE2haw/company-logo_'}",Start-up Launchpad,HEC Paris,Master of Digital Business,2016.0
13,"{'objectUrn': 'urn:li:school:164034', 'entityUrn': 'urn:li:fs_miniSchool:164034', 'active': True, 'schoolName': 'Sciences Po Lille', 'trackingId': '2ofNhffyRy6YTcGsb9uB+A==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQFCMNGgkejfBg/company-logo_'}",Master's degree,Sciences Po Lille,Public affairs and management,2014.0
14,,,Lycée Carnot,Préparation aux concours des grandes écoles de commerce,2004.0
14,"{'objectUrn': 'urn:li:school:12416', 'entityUrn': 'urn:li:fs_miniSchool:12416', 'active': True, 'schoolName': 'NEOMA Business School', 'trackingId': '9s6UbM5ISOa7WLeyS2EV8A==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQGkpW2bgM79Og/company-logo_'}",Sup de Co Reims,NEOMA Business School,Management,2006.0
14,"{'objectUrn': 'urn:li:school:11398', 'entityUrn': 'urn:li:fs_miniSchool:11398', 'active': True, 'schoolName': 'Tsinghua University', 'trackingId': '3i2m1k70QCGStC8hb4hBVw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQFJU3_2fIeNWw/company-logo_'}",MBA,Tsinghua University,Economics & Management,2009.0
15,"{'objectUrn': 'urn:li:school:12416', 'entityUrn': 'urn:li:fs_miniSchool:12416', 'active': True, 'schoolName': 'NEOMA Business School', 'trackingId': 'QsbjiUqESguZ0CXwrzEH5w==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQGkpW2bgM79Og/company-logo_'}",BAC + 5,NEOMA Business School,Management,2003.0
15,"{'objectUrn': 'urn:li:school:12416', 'entityUrn': 'urn:li:fs_miniSchool:12416', 'active': True, 'schoolName': 'NEOMA Business School', 'trackingId': 'm6IzXbJGQJuMmttZ5+ODZQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQGkpW2bgM79Og/company-logo_'}",Bac + 5,Reims Management School,Marketing,2001.0
15,"{'objectUrn': 'urn:li:school:11993', 'entityUrn': 'urn:li:fs_miniSchool:11993', 'active': True, 'schoolName': 'WHU – Otto Beisheim School of Management', 'trackingId': 'qcfWndb4Qlq+BlGLugT1nQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQF6uXYcPdiqHA/company-logo_'}",,WHU – Otto Beisheim School of Management,,2006.0
16,"{'objectUrn': 'urn:li:school:17993', 'entityUrn': 'urn:li:fs_miniSchool:17993', 'active': True, 'schoolName': 'Colorado College', 'trackingId': 'PqhEKwOeQPmV+n9AKfprYw==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQHeKkPQiortRg/company-logo_'}",Bachelor of Arts (B.A.),Colorado College,"International Political Economy, Minor: African Studies",
16,"{'objectUrn': 'urn:li:school:3212064', 'entityUrn': 'urn:li:fs_miniSchool:3212064', 'active': True, 'schoolName': 'UWC Mahindra College', 'trackingId': 'GNSmzVGCTRmvvmlKBLPUfg==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQHd19h_iyNMmA/company-logo_'}",International Baccalaureate Diploma,UWC Mahindra College,"Economics, Philosophy, English Literature, ",
16,"{'objectUrn': 'urn:li:school:153040', 'entityUrn': 'urn:li:fs_miniSchool:153040', 'active': True, 'schoolName': 'Hertie School', 'trackingId': 'KM/Lxf6RRn6UtZQMHA2lwA==', 'logoUrl': 'https://media.licdn.com/dms/image/D4E0BAQE6OtpOxO0sCg/company-logo_'}",Master of Public Policy,Hertie School of Governance,Focus: Democratic Innovation,
17,"{'objectUrn': 'urn:li:school:198003', 'entityUrn': 'urn:li:fs_miniSchool:198003', 'active': True, 'schoolName': 'Le Wagon', 'trackingId': 'F1y3+Xb0SkKDzWBc++JIPQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQEMcw7g_5Et_A/company-logo_'}",Full-Stack Bootcamp,Le Wagon,Web Development Ruby on Rails,2015.0
17,"{'objectUrn': 'urn:li:school:11022', 'entityUrn': 'urn:li:fs_miniSchool:11022', 'active': True, 'schoolName': 'Beijing Foreign Studies University', 'trackingId': 'uwKrNZ4sSlifuWYxb8Y+Og==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQGsDx07zmgQZg/company-logo_'}",,北京外国语大学,Mandarin,2007.0
17,"{'objectUrn': 'urn:li:school:12454', 'entityUrn': 'urn:li:fs_miniSchool:12454', 'active': True, 'schoolName': 'Sciences Po', 'trackingId': 'oLR0jf1wQhuB8BcApPgQnw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQGibH--XUFAAg/company-logo_'}",Master,Sciences Po,Public Affairs,2005.0
18,,DESS,IEP Toulouse,,1999.0
18,,,Ecole de Guerre Economique,,2000.0
18,"{'objectUrn': 'urn:li:school:12488', 'entityUrn': 'urn:li:fs_miniSchool:12488', 'active': True, 'schoolName': ""UNIVERSITE D'AUVERGNE"", 'trackingId': 'WeSW3tgKT2e8rLOTTT/3ug==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQFz2xEYDHso9A/company-logo_'}","DEUG, Licence et Maîtrise de droit privé",Université d'Auvergne (Clermont-Ferrand I),,1996.0
19,"{'objectUrn': 'urn:li:school:12445', 'entityUrn': 'urn:li:fs_miniSchool:12445', 'active': True, 'schoolName': 'INSEAD', 'trackingId': 't1GScBUJSxCr/1KFgNGxiw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQGGK49QM3u7NQ/company-logo_'}",Executive Education,INSEAD,Financial Accounting,2007.0
19,"{'objectUrn': 'urn:li:school:453153', 'entityUrn': 'urn:li:fs_miniSchool:453153', 'active': True, 'schoolName': 'emlyon business school', 'trackingId': 'J9znLgVFQIuUZ+LqJ6I9aQ==', 'logoUrl': 'https://media.licdn.com/dms/image/D4E0BAQFYY9E8jYRA2g/company-logo_'}",DEA,emlyon business school,Programme Doctoral en Stratégie et Réseaux Décisionnels  ,1990.0
19,,,New York Institute of Finance,M&A,2003.0
20,"{'objectUrn': 'urn:li:school:19998', 'entityUrn': 'urn:li:fs_miniSchool:19998', 'active': True, 'schoolName': 'Audencia', 'trackingId': 'rABo60bmRnyh5bW+aq/s+w==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQGCHetp43_WOQ/company-logo_'}",Master in business,Audencia Nantes Ecole de Management,Business and Marketing,2005.0
20,,Classe préparatoire HEC,Lycée Kerichen,,2003.0
20,"{'objectUrn': 'urn:li:school:18058', 'entityUrn': 'urn:li:fs_miniSchool:18058', 'active': True, 'schoolName': 'American University', 'trackingId': '9IUJ+nrzTXaYHZbUnpXIgA==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQH7mDPifbpz7Q/company-logo_'}",2008,American University,International affairs and Foreign Policy,2008.0
21,"{'objectUrn': 'urn:li:school:12383', 'entityUrn': 'urn:li:fs_miniSchool:12383', 'active': True, 'schoolName': 'Télécom Paris', 'trackingId': 'WMJupzNCTCGXepZXT6rDAA==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQFx4IdmU79mIg/company-logo_'}",Mastère spécialisé,Télécom Paris,Computer Science,2004.0
21,"{'objectUrn': 'urn:li:school:3155206', 'entityUrn': 'urn:li:fs_miniSchool:3155206', 'active': True, 'schoolName': 'National School of Applied Science and Technology', 'trackingId': 'snMoSGW8QB+g/qokzanIUA==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQHO2W8GbE__NQ/company-logo_'}",Diplôme d'ingénieur,ENSSAT - École Nationale Supérieure des Sciences Appliquées et de Technologie,Computer Science,2001.0
21,"{'objectUrn': 'urn:li:school:11986', 'entityUrn': 'urn:li:fs_miniSchool:11986', 'active': True, 'schoolName': 'Ulm University', 'trackingId': '4ux74A05RwefPhB8zsK+pA==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQHNE-WihUTmUA/company-logo_'}",Master,Ulm University,Informatik,2003.0
22,"{'objectUrn': 'urn:li:school:12380', 'entityUrn': 'urn:li:fs_miniSchool:12380', 'active': True, 'schoolName': 'Mines Paris', 'trackingId': 'Iw5+xrqmS2aMUfpPo5KZvA==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQHgKzPBVtaKUw/company-logo_'}",Executive Education (Certificate),Mines Paris,Circular Economy,2023.0
22,"{'objectUrn': 'urn:li:school:18277', 'entityUrn': 'urn:li:fs_miniSchool:18277', 'active': True, 'schoolName': 'Loyola University Chicago', 'trackingId': 'EkJtOpZcQp+6lrXayyN0kQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQGqdHmIbLIMDw/company-logo_'}",Master of Business Administration - MBA,Loyola University Chicago,,
22,"{'objectUrn': 'urn:li:school:4160021', 'entityUrn': 'urn:li:fs_miniSchool:4160021', 'active': True, 'schoolName': 'ESSEC | Télécom Paris - MS® Management des Systèmes d’Information en Réseaux (MSIR)', 'trackingId': 'L6zxFnHIRZukRmQi7Ktmng==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQHqo8pqrqXaUQ/company-logo_'}",Master,ESSEC | Télécom Paris - MS® Management des Systèmes d’Information en Réseaux (MSIR),Informations Systems & Telecommunication Networks,1999.0
23,,Licence,Carleton University,,2014.0
23,,Master,EHESS - École des hautes études en sciences sociales,Etudes politiques,2015.0
23,"{'objectUrn': 'urn:li:school:21251', 'entityUrn': 'urn:li:fs_miniSchool:21251', 'active': True, 'schoolName': 'EHESS - Ecole des Hautes Etudes en Sciences Sociales', 'trackingId': 'pM16EX9VQCyQNx62POyt3A==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQHViuibfRCPqA/company-logo_'}",Doctorat,EHESS - École des hautes études en sciences sociales,Etudes politiques,2018.0
24,"{'objectUrn': 'urn:li:school:21225', 'entityUrn': 'urn:li:fs_miniSchool:21225', 'active': True, 'schoolName': 'CELSA Paris-Sorbonne', 'trackingId': '8NIl/2uIQcy0kO8PPy2P3g==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQHpXEhU_MTM6w/company-logo_'}",Master Communication politique,CELSA - Ecole des hautes études en sciences de l'information et de la communication,,2005.0
24,,Hypokhâgne - Khâgne,Lycée de Sèvres,,1998.0
24,"{'objectUrn': 'urn:li:school:19991', 'entityUrn': 'urn:li:fs_miniSchool:19991', 'active': True, 'schoolName': 'Sciences Po Grenoble', 'trackingId': 'z1klVNTITfiSQV7/TPrBdA==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQEtvlzU8bHM_A/company-logo_'}",Diplome sciences Po,Institut d'Etudes Politiques de Grenoble,Sciences politiques,2000.0
25,"{'objectUrn': 'urn:li:school:12449', 'entityUrn': 'urn:li:fs_miniSchool:12449', 'active': True, 'schoolName': 'Institut catholique de Paris', 'trackingId': 'cy/M9URmSMmVGPEmChXnxA==', 'logoUrl': 'https://media.licdn.com/dms/image/C510BAQGgoKsBuhOB2Q/company-logo_'}",Master en Relations Européennes et Lobbying,Institut catholique de Paris,,2015.0
25,,,Ecole du Centre Chorégraphique National de Roubaix,Danse classique et contemporaine,2013.0
25,"{'objectUrn': 'urn:li:school:164034', 'entityUrn': 'urn:li:fs_miniSchool:164034', 'active': True, 'schoolName': 'Sciences Po Lille', 'trackingId': 'sN+Ait/VQDeGJMyu2ZvMDQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQFCMNGgkejfBg/company-logo_'}","Master en Stratégie, Intelligence et Gestion des Risques",Institut d'Etudes politiques de Lille,Relations et affaires internationales,2011.0
26,"{'objectUrn': 'urn:li:school:12550', 'entityUrn': 'urn:li:fs_miniSchool:12550', 'active': True, 'schoolName': 'Université Paris Nanterre', 'trackingId': '7WDkymqAQaK6RRBQ58kL2w==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQF-aQ6o5egnhQ/company-logo_'}",Master Degree - Law & Economics,Université Paris X Nanterre,Competition and market regulation,2011.0
