company_id;companyname;adresse;activite;effectif;creation;forme_juridique;capital_social;activite_principale_declaree;code_naf_ou_ape;domaine_dactivite;inscription_rcs;city;date_inscr_rad;directors;post_code;country
40;liberté_living_lab;16 RUE DU CAIRE 75002 PARIS 2;Conseil pour les affaires et autres conseils de gestion;Entre 10 et 19 salariés  (donnée 2020);25/03/2015;SASU, société par actions simplifiée unipersonnelle;498789;Créer en France et à l'international les conditions d'expérimentation, d'observation et de développement de l'innovation collective, pour proposer de nouveaux modèles de travail et d'innovation. Favoriser l'émergence de nouvelles formes de collaboration entre les communautés, les conseils et les grandes entreprises. Toutes opérations de conseil et de service d'innovation, de communication et de management, d'événementiel et de location d'espaces, de production, de diffusion et de partage de contenus, et tous travaux de recherches, études, d'ingénierie, de formation ou d'édition au profit de toutes les entreprises et/ou de tous les organismes publics ou privés par l'emploi de tous supports ou médias et cela en France ou à l'étranger.;70.22Z (Conseil pour les affaires et autres conseils de gestion);"Activités des sièges sociaux ; conseil de gestion";1;PARIS;2015-04-08;ANNAMAMASHOW, Raymond Maeder, 3APEXCO;75002;France
43;citybay_ambitions;10 RUE AUGUSTIN FRESNEL 17180 PERIGNY;Conseil pour les affaires et autres conseils de gestion;0 salarié  (donnée 2020);01/01/2017;EURL, entreprise unipersonnelle à responsabilité limitée;5000;conseil et accompagnement aux entreprises en matière de stratégies, de gestion des ressources humaines et autres conseils;70.22Z (Conseil pour les affaires et autres conseils de gestion);"Activités des sièges sociaux ; conseil de gestion";1;LAROCHELLE;2016-12-19;Marie CUEFF;17180;France
44;politizr;32 AV DU GENERAL DE GAULLE 09000 FOIX;Programmation informatique;0 salarié  (donnée 2022);04/08/2015;SAS, société par actions simplifiée;5000;La conception, l'édition, le développement et l'exploitation de sites internet et mobiles, dans tous domaines d'activités et notamment www.politizr.com et ses dérivés;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;0;FOIX;2023-04-20;Lionel BOUZONVILLE;09000;France
45;digitalebox;13 RUE DES GRAVIERS 92200 NEUILLY-SUR-SEINE;Programmation informatique;Entre 3 et 5 salariés  (donnée 2020);01/09/2013;SAS, société par actions simplifiée;7650;Programmation informatique;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;1;NANTERRE;2013-08-26;Vincent MONCENIS;92200;France
46;mesopinions;6 RUE DE LA LADRIE 59290 WASQUEHAL;Régie publicitaire de médias;Entre 10 et 19 salariés  (donnée 2020);29/09/2011;SASU, société par actions simplifiée unipersonnelle;2107;Régie publicitaire de médias, vente d'espaces publicitaires sur tout support, conseil, formation.;73.12Z (Régie publicitaire de médias);Publicité et études de marché;1;LILLE M;2011-09-30;RAVEL;59290;France
48;madeinvote;84 QUAI DES CHARTRONS 33300 BORDEAUX;Études de marché et sondages;Entre 6 et 9 salariés  (donnée 2020);05/07/2016;SASU, société par actions simplifiée unipersonnelle;32502;Etudes de marché et sondages, exploitation d'une plateforme internet;73.20Z (Études de marché et sondages);Publicité et études de marché;1;BORDEAUX;2019-09-18;Guillaume DAVID;33300;France
51;kawaa;24 AV DAUMESNIL 75012 PARIS 12;Autres services personnels n.c.a.;0 salarié  (donnée 2023);05/03/2014;SAS, société par actions simplifiée;4063;La société a pour finalité de contribuer au développement et à la préservation du lien social.;96.09Z (Autres services personnels n.c.a.);Autres services personnels;1;PARIS;2020-09-16;Kevin André, CONCENTIO,;75012;France
52;ciwik;13 RUE DU GUELMEUR 29200 BREST;Édition et diffusion de programmes radio;0 salarié;02/05/2016;SAS, société par actions simplifiée;996400;Exercice de toutes activités se rapportant à la radio diffusion et la télé diffusion, revues ou périodiques, gestion de sites internet et de tous éléments de communication, agence de presse, édition et conception de supports publicitaires.;60.10Z (Édition et diffusion de programmes radio);Programmation et diffusion;1;BREST;2016-06-16;Olivier LUCAS, Sébastien LE GOASCOZ, Paul-Alexis MEYER;29200;France
54;digiworks;72 RUE DE LA REPUBLIQUE 76140 LE PETIT-QUEVILLY;Programmation informatique;Entre 10 et 19 salariés  (donnée 2020);01/11/2008;SASU, société par actions simplifiée unipersonnelle;34119;Conseil en communication, formation, marketing, édition, événementiel, vidéo, colloques, séminaires, études de marché, voyages d'études, incentive, création de sketches, rédaction de livres et d'articles, relations presse, identité visuelle, supports de communication, études touristiques, animation, conception de jeux, conférences.;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;1;ROUEN;2008-09-30;Alexandre REYMONET;76140;France
55;equivote_myopencity;8 RUE CECILE BRUNSCHVICG 31200 TOULOUSE;Conseil en relations publiques et communication;0 salarié  (donnée 2023);13/05/2015;SAS, société par actions simplifiée;1500;Mise en place et exploitation d'un site internet relatif à la collecte d'opinions en rapport à la démocratie participative en ligne. Service de communication et service participatif d'information et de communication citoyenne en ligne, de collecte et de partage d'opinions.;70.21Z (Conseil en relations publiques et communication);"Activités des sièges sociaux ; conseil de gestion";0;TOULOUSE;2019-02-27;Jérémy SIMONKLEIN, Sébastien GAREL;31200;France
56;make.org;13 RUE DE LA BUCHERIE 75005 PARIS 5;Conseil en relations publiques et communication;0 salarié  (donnée 2023);04/04/2016;SAS, société par actions simplifiée;1056017;La communication auprès du grand public d'informations à caractère politique, au niveau local, national ou international. La gestion de sites internet à vocation informative destinée au grand public.;70.21Z (Conseil en relations publiques et communication);"Activités des sièges sociaux ; conseil de gestion";1;PARIS;2016-04-29;AXEL DAUCHEZ SARL, SOCIETE D'ETUDES FINANCIERES ET D'AUDIT COMPTABLE - SEFAC SOCIETE D'EXPERTISE COMPTABLE ET DE COMMISSARIAT AUX COMPTES, Philippe Blin;75005;France
57;kohero;17 RUE DES TUILERIES 69009 LYON 9EME;Portails Internet;0 salarié  (donnée 2020);13/06/2018;SAS, société par actions simplifiée;8000;Favoriser l'action citoyenne et la démocratie participative par la création et l'animation d'une plateforme numérique. vendre l'accès à cette plateforme et son utilisation à des tiers. former ou conseiller toute personne morale ou physique sur tout sujet lié à son activité et à l'utilisation de sa plateforme;63.12Z (Portails Internet);Services d'information;0;LYON;2020-09-28;Philippe MELI, Pauline BILLET;69009;France
